Manufacturer,Category,GPU,OS,CPU_core,CPU_frequency,RAM_GB,Storage_GB_SSD,Price,Screen_Size_inches,Weight_pounds,Price_Label,Screen_Full HD,Screen_IPS Panel
Acer,4,2,1,5,0.2352941176470589,8,256,978,14.0,0.7256235827664399,Low,False,True
Dell,3,1,1,3,0.4705882352941177,4,256,634,15.600000000000001,0.997732426303855,Low,True,False
Dell,3,1,1,7,0.8823529411764708,8,256,946,15.600000000000001,0.997732426303855,Low,True,False
Dell,4,2,1,5,0.2352941176470589,8,128,1244,13.299999999999999,0.5532879818594104,Low,False,True
HP,4,2,1,7,0.3529411764705883,8,256,837,15.600000000000001,0.8662131519274375,Low,True,False
Dell,3,1,1,5,0.2352941176470589,8,256,1016,15.600000000000001,0.997732426303855,Low,True,False
HP,3,3,1,5,0.2352941176470589,8,256,1117,15.600000000000001,0.9523809523809524,Low,True,False
Acer,3,2,1,5,0.2352941176470589,4,256,866,15.0,0.997732426303855,Low,False,True
Dell,3,1,1,5,0.7647058823529412,4,256,812,15.600000000000001,1.0430839002267573,Low,True,False
Acer,3,3,1,7,0.3529411764705883,8,256,1068,15.0,0.997732426303855,Low,False,True
Dell,3,1,1,7,0.3529411764705883,8,256,975,15.600000000000001,0.9659863945578231,Low,True,False
HP,3,2,1,3,0.4705882352941177,4,128,558,15.600000000000001,0.8662131519274375,Low,True,False
Asus,3,2,2,3,0.4705882352941177,4,256,527,15.600000000000001,0.9070294784580498,Low,True,False
Dell,4,2,1,5,0.2352941176470589,8,256,1117,14.0,0.7709750566893424,Low,True,False
Asus,3,2,1,5,0.2352941176470589,8,256,1195,14.0,0.6349206349206349,Low,True,False
HP,3,2,1,5,0.7647058823529412,8,256,876,15.600000000000001,0.8435374149659864,Low,True,False
Dell,4,1,1,7,0.3529411764705883,8,256,1213,13.000000000000002,0.6349206349206349,Low,False,True
Dell,3,1,1,7,0.3529411764705883,8,256,1105,15.600000000000001,0.997732426303855,Low,True,False
Dell,4,2,1,5,0.2352941176470589,8,256,1392,15.0,0.8526077097505668,Low,False,True
HP,3,2,1,5,0.2352941176470589,8,256,1092,14.0,0.7392290249433106,Low,True,False
HP,4,3,1,7,0.3529411764705883,8,256,888,15.0,0.8299319727891157,Low,False,True
HP,3,2,1,5,0.7647058823529412,8,256,761,15.600000000000001,0.8888888888888888,Low,True,False
Dell,4,2,1,7,0.3529411764705883,8,256,2095,13.000000000000002,0.5487528344671202,Medium,False,True
Dell,1,3,1,5,0.7647058823529412,8,256,1518,15.600000000000001,1.201814058956916,Low,True,False
Asus,4,2,1,7,0.8823529411764708,8,256,1333,14.0,0.5668934240362812,Low,True,False
Dell,3,1,2,3,0.4705882352941177,4,256,616,15.600000000000001,0.997732426303855,Low,True,False
Asus,3,3,1,3,0.7058823529411765,6,256,733,15.600000000000001,0.9070294784580498,Low,True,False
HP,3,1,1,7,0.8823529411764708,8,256,913,15.600000000000001,0.8662131519274375,Low,True,False
HP,4,3,1,7,0.8823529411764708,8,256,1421,13.000000000000002,0.6258503401360543,Low,False,True
HP,3,3,1,5,0.7647058823529412,6,256,837,14.0,0.8445495508646949,Low,False,True
Asus,4,3,1,7,0.8823529411764708,8,256,1515,14.0,0.5895691609977324,Low,False,True
Lenovo,3,2,1,7,0.8823529411764708,8,256,1880,14.0,0.7165532879818595,Medium,False,True
Dell,4,2,1,5,0.2352941176470589,8,256,2069,13.000000000000002,0.5487528344671202,Medium,False,True
Asus,3,3,1,7,0.3529411764705883,8,256,1420,15.600000000000001,0.7709750566893424,Low,True,False
HP,3,2,1,5,0.2352941176470589,8,256,1179,17.3,1.1337868480725624,Low,True,False
Acer,4,2,1,7,0.3529411764705883,8,256,1123,14.0,0.7256235827664399,Low,False,True
Acer,3,3,1,3,0.8823529411764708,4,256,727,15.600000000000001,0.997732426303855,Low,True,False
HP,3,2,1,7,0.3529411764705883,8,256,1255,14.0,0.7392290249433106,Low,True,False
HP,3,2,1,5,0.7647058823529412,4,256,888,13.000000000000002,0.8445495508646949,Low,False,True
Lenovo,3,1,1,5,0.2352941176470589,8,256,1418,14.0,0.7936507936507936,Low,False,True
Asus,4,2,1,7,0.3529411764705883,8,256,1396,14.0,0.5668934240362812,Low,True,False
HP,4,2,1,5,0.8823529411764708,4,256,1374,14.0,0.6712018140589568,Low,True,False
HP,3,1,1,5,0.2352941176470589,6,256,786,15.600000000000001,0.8662131519274375,Low,True,False
Acer,3,3,1,5,0.2352941176470589,4,256,1023,17.0,1.3605442176870748,Low,False,True
Dell,3,1,1,5,0.2352941176470589,8,256,925,15.600000000000001,0.9659863945578231,Low,True,False
Lenovo,1,3,1,7,0.9411764705882353,16,256,1371,15.0,1.1337868480725624,Low,False,True
Acer,3,3,1,5,0.2352941176470589,8,256,1085,17.0,1.3605442176870748,Low,False,True
Huawei,4,2,1,5,0.7647058823529412,8,256,1714,13.000000000000002,0.4761904761904762,Medium,False,True
HP,3,3,1,5,0.2352941176470589,8,256,1172,17.3,1.1337868480725624,Low,True,False
Dell,4,2,1,5,0.2352941176470589,8,256,1777,13.299999999999999,0.8445495508646949,Medium,True,False
Acer,4,2,1,5,0.0,8,256,1256,13.000000000000002,0.507936507936508,Low,False,True
HP,3,3,1,7,0.3529411764705883,8,256,1327,17.3,1.1337868480725624,Low,True,False
Dell,4,2,1,7,0.3529411764705883,8,256,1841,13.299999999999999,0.5442176870748299,Medium,True,False
Dell,4,1,1,7,0.3529411764705883,8,256,1184,13.000000000000002,0.6349206349206349,Low,False,True
HP,3,3,1,7,0.3529411764705883,8,256,1310,14.0,0.7392290249433106,Low,True,False
Dell,4,2,1,5,0.2352941176470589,8,256,1460,14.0,0.7256235827664399,Low,True,False
Dell,3,1,2,5,0.2352941176470589,8,256,860,15.600000000000001,0.997732426303855,Low,True,False
Toshiba,4,2,1,7,0.7647058823529412,8,256,1731,13.299999999999999,0.5442176870748299,Medium,True,False
Acer,3,3,1,7,0.8823529411764708,8,256,1057,15.600000000000001,0.997732426303855,Low,True,False
Asus,3,3,1,5,0.7647058823529412,8,256,977,15.600000000000001,0.9070294784580498,Low,True,False
Dell,3,2,1,5,0.7647058823529412,8,256,1091,14.0,0.7256235827664399,Low,True,False
Dell,3,1,2,7,0.8823529411764708,16,256,1142,15.600000000000001,0.8445495508646949,Low,True,False
Acer,1,3,1,5,0.7647058823529412,8,256,1075,15.0,1.1337868480725624,Low,False,True
Dell,1,3,1,5,0.7647058823529412,8,256,1117,15.600000000000001,1.1609977324263039,Low,True,False
Asus,1,3,1,7,1.0,16,256,3810,17.3,1.6326530612244898,High,True,False
Acer,3,3,1,3,0.8823529411764708,4,256,892,17.0,1.3605442176870748,Low,False,True
Dell,4,2,1,5,0.2352941176470589,8,256,1206,13.299999999999999,0.6394557823129251,Low,True,False
Lenovo,3,2,1,7,0.3529411764705883,8,256,1118,15.600000000000001,0.929705215419501,Low,True,False
Dell,3,1,2,7,0.3529411764705883,8,256,934,15.600000000000001,0.8445495508646949,Low,True,False
Lenovo,1,3,1,5,0.7647058823529412,8,256,1053,15.0,1.1337868480725624,Low,False,True
Lenovo,3,2,1,5,0.7647058823529412,6,256,735,15.600000000000001,0.997732426303855,Low,True,False
Acer,3,3,1,7,0.3529411764705883,8,256,1208,15.0,1.3605442176870748,Low,False,True
Lenovo,3,2,1,7,0.8823529411764708,8,256,1394,15.0,0.8843537414965986,Low,False,True
Asus,4,3,1,5,0.7647058823529412,8,256,1241,15.600000000000001,0.7709750566893424,Low,True,False
Dell,3,3,1,7,0.9411764705882353,8,256,2323,15.600000000000001,0.9070294784580498,Medium,True,False
Lenovo,3,2,1,5,0.2352941176470589,8,256,939,15.600000000000001,0.929705215419501,Low,True,False
Acer,3,3,2,7,0.9411764705882353,8,256,1244,15.600000000000001,1.1337868480725624,Low,True,False
Dell,5,3,1,7,1.0,16,256,3665,17.3,1.5510204081632653,High,True,False
Toshiba,3,3,1,7,0.7647058823529412,8,256,1325,15.0,0.997732426303855,Low,False,True
Lenovo,3,2,1,5,0.7647058823529412,8,256,1269,13.000000000000002,0.4988662131519275,Low,False,True
HP,3,2,1,5,0.7647058823529412,8,256,1245,14.0,0.8843537414965986,Low,True,False
HP,3,2,1,7,0.8823529411764708,8,256,1641,14.0,0.6712018140589568,Medium,True,False
Asus,3,2,1,7,0.8823529411764708,8,256,1390,14.0,0.9070294784580498,Low,True,False
Asus,4,3,1,7,0.8823529411764708,8,256,1334,15.600000000000001,0.7709750566893424,Low,True,False
HP,4,2,1,7,0.8823529411764708,8,256,1696,12.5,0.5714285714285714,Medium,True,False
Toshiba,3,2,1,5,0.7647058823529412,8,256,1198,15.0,0.9070294784580498,Low,False,True
Asus,1,3,1,7,0.9411764705882353,8,256,1269,15.600000000000001,1.1337868480725624,Low,True,False
HP,3,2,1,5,0.823529411764706,8,256,1611,14.0,0.6712018140589568,Low,True,False
HP,3,2,1,5,0.7647058823529412,8,256,1453,15.600000000000001,0.8344671201814059,Low,True,False
Dell,3,3,1,5,0.2352941176470589,8,256,1452,15.600000000000001,0.9070294784580498,Low,True,False
Dell,4,2,1,7,0.3529411764705883,8,256,2006,13.299999999999999,0.5442176870748299,Medium,True,False
HP,3,2,1,7,0.8823529411764708,8,256,1656,15.600000000000001,0.8344671201814059,Medium,True,False
HP,5,3,1,7,0.9411764705882353,8,256,2208,15.600000000000001,1.1791383219954648,Medium,True,False
Dell,3,2,1,5,0.823529411764706,8,256,1813,14.0,0.6167800453514739,Medium,True,False
Asus,3,2,1,5,0.7647058823529412,8,256,1200,14.0,0.9070294784580498,Low,True,False
Dell,3,1,1,7,0.8823529411764708,8,256,1142,15.600000000000001,1.056689342403628,Low,True,False
